year,2330,3443,2002,2317,3687,2731
2024,-,26.4(年估),1.31(年估),5.89(年估),7.14(年估),32.4(年估)
2023,26,39.5,1.01,9.28,8.07,54.6
2022,39.6,55.7,4.84,9.37,12.6,-47.5
2021,29.7,30,19.4,10.1,19.3,-29.1
2020,29.8,19.3,0.69,7.96,11.7,-20.9
2019,20.9,14.6,3.06,9.68,5.31,10.7
2018,21.9,23.5,8.27,10.4,-10.4,11.5
2017,23.6,22.1,6.18,11.7,-14.3,20.8
2016,25.6,15.3,5.9,13.8,-22.5,11
2015,27,14.2,2.33,14.7,-6.34,20.7
2014,27.9,12.9,7.39,14.8,-24.3,18.7
2013,23.9,8.4,5.9,14.4,-7.37,24
2012,24.5,18,2.09,14.1,9.66,16.8
2011,22.2,16.2,6.94,14.5,42.9,15.8
2010,30.1,20.3,15.1,15.3,15.1,21.9
2009,18.3,15.2,8.41,17.6,42.4,
2008,20.7,30.2,9.54,14.6,,
2007,22,36.5,22.9,,,
2006,26.6,17.4,19.4,,,
2005,22.2,11.2,24.2,,,
2004,25.4,3.44,29.9,,,
2003,15.1,,25,,,
2002,7.54,,12.9,,,
2001,5.37,,5.89,,,
2000,31.4,,-,,,
1999,19.9,,-,,,
1998,20,,-,,,
1997,29.6,,-,,,
1996,45.3,,-,,,
1995,44.9,,-,,,
1994,-,,-,,,
1993,-,,-,,,
1992,-,,-,,,
1991,-,,-,,,
