Year_2330,2330,Year_3443,3443,Year_2002,2002
2024,-,24Q1,-2.03,24Q1,0.09
2023,-6.86,2023,-1.51,2023,-1.04
2022,16.19,2022,16.79,2022,-2.87
2021,3.04,2021,4.56,2021,3.97
2020,6.65,2020,1.61,2020,-0.52
2019,-0.22,2019,-2.64,2019,-1.01
2018,0.31,2018,0.99,2018,0.49
2017,0.34,2017,2.27,2017,0.05
2016,1.07,2016,0.42,2016,0.55
2015,1.64,2015,0.42,2015,-0.94
2014,2.92,2014,1.11,2014,0.38
2013,0.84,2013,-2.42,2013,0.66
2012,1.24,2012,0.64,2012,-0.97
2011,-1.06,2011,-0.62,2011,-1.47
2010,2.79,2010,1.41,2010,1.29
2009,-0.41,2009,-2.9,2009,-0.49
2008,-0.28,2008,-0.36,2008,-2.46
2007,-0.79,2007,3.97,2007,0.93
2006,1.14,2006,1.21,2006,-1.27
2005,-0.18,2005,0.86,2005,-0.43
2004,1.64,2004,-,2004,1.32
2003,1.19,,,2003,2.08
2002,0.31,,,2002,1.04
2001,-4.88,,,2001,-1.3
2000,2.47,,,2000,0.36
1999,0.7,,,1999,-0.48
1998,-1.86,,,1998,1.15
1997,-2.91,,,1997,-0.47
1996,-3.17,,,1996,0.79
1995,-0.38,,,1995,-
1994,-,,,1994,-
1993,-,,,1993,-
1992,-,,,1992,-
1991,-,,,1991,-
