Year,2002,Year,2330,Year,2317,Year,2731,Year,3443,Year,3687
24Q1, 0.82,24Q1, 42,24Q1, 2.78,24Q1, 5.91,24Q1, 12.4,24Q1, 18.6
2023, 0.99,2023, 42.6,2023, 2.7,2023, 4.34,2023, 15.1,2023, 19.8
2022, 4.06,2022, 49.5,2022, 2.62,2022, -23.9,2022, 17.1,2022, 22.8
2021, 17,2021, 40.9,2021, 2.49,2021, -54.5,2021, 11.1,2021, 21.7
2020, 0.73,2020, 42.3,2020, 2.07,2020, -14.6,2020, 7.1,2020, 14.8
2019, 3.43,2019, 34.8,2019, 2.15,2019, 0.44,2019, 6.51,2019, 10.2
2018, 8.38,2018, 37.2,2018, 2.57,2018, 0.6,2018, 8.15,2018, -16.6
2017, 7.18,2017, 39.4,2017, 2.39,2017, 1.61,2017, 7.65,2017, -25.6
2016, 8.68,2016, 39.9,2016, 4.01,2016, 0.68,2016, 6.7,2016, -28.4
2015, 2.85,2015, 37.9,2015, 3.66,2015, 1.98,2015, 7.25,2015, -12.6
2014, 8.12,2014, 38.8,2014, 3.4,2014, 1.96,2014, 6.83,2014, -72.6
2013, 7.06,2013, 35.1,2013, 2.77,2013, 2.19,2013, 5.13,2013, -49.5
2012, 2.23,2012, 35.8,2012, 2.76,2012, 0.95,2012, 7.87,2012, 29
2011, 6.03,2011, 33.1,2011, 2.4,2011, 0.69,2011, 6.34,2011, 37.6
2010, 14.8,2010, 37.9,2010, 2.87,2010, 1.21,2010, 5.69,2010, 15
2009, 6.75,2009, 31.1,2009, 4.26,,,2009, 4.92,2009, 26.3
2008, 10.3,2008, 31.3,2008, 3.62,,,2008, 7.92,,
2007, 21.7,2007, 34.6,2007, 5.49,,,2007, 10.6,,
2006, 20.2,2006, 40.1,2006, 5.83,,,2006, 6.62,,
2005, 25.2,2005, 34.1,2005, 5.48,,,2005, 4.07,,
2004, 32.9,2004, 34.4,2004, 6.2,,,2004, 0.73,,
2003, 30.6,2003, 25.3,2003, 6.56,,,,,,
2002, 19.9,2002, 19.5,2002, 7.44,,,,,,
2001, 8.55,2001, 10.2,2001, 9.21,,,,,,
2000, -,2000, 36.9,2000, 10.7,,,,,,
1999, -,1999, 29.2,1999, 12.6,,,,,,
1998, -,1998, 27.4,1998, 14.6,,,,,,
1997, -,1997, 34,1997, 15.5,,,,,,
1996, -,1996, 46.3,1996, 15.2,,,,,,
1995, -,1995, 48.3,1995, 15.1,,,,,,
1994, -,1994, -,1994, 12.4,,,,,,
1993, -,1993, -,1993, -,,,,,,
1992, -,1992, -,1992, -,,,,,,
1991, -,1991, -,1991, -,,,,,,
,,,,1990, -,,,,,,
