year,2330,2002,3443
24Q1,140.19,20.45,77.32
2023,133.38,20.23,72.24
2022,113.6,20.97,60.15
2021,83.62,22.88,39.28
2020,71.33,18.98,33.48
2019,62.53,19.58,32.18
2018,64.67,20.25,32.58
2017,58.7,19.67,30.2
2016,53.58,19.58,27.4
2015,47.11,19.04,26.32
2014,40.32,19.72,25.62
2013,32.69,19.11,25.28
2012,27.9,18.56,26.28
2011,24.29,19.51,24.79
2010,22.16,20.02,23.83
2009,19.11,18.93,21.05
2008,18.59,19.55,21.16
2007,19.03,19.44,20.03
2006,19.69,18.48,15.69
2005,18.04,18.71,11.59
2004,17.19,18.7,-
2003,16.24,16.95,
2002,14.85,14.49,
2001,15.29,13.9,
2000,20.15,15.31,
1999,15.74,14.8,
1998,13.9,16.21,
1997,17.0,15.44,
1996,19.63,15.23,
1995,23.34,15.14,
1994,24.14,14.36,
1993,18.25,14.24,
1992,12.82,14.44,
1991,11.54,14.67,
