year,2330,2002,3443
24Q1,-,0.66(年估),12.3(年估)
2023,16,0.52,16.6
2022,23.4,2.62,20.6
2021,18.4,10.4,11.9
2020,20.6,0.35,9.4
2019,15.9,1.54,7.7
2018,17.2,4.16,12
2017,17.7,3.04,11.5
2016,18.9,2.83,9.25
2015,19.4,1.12,9.57
2014,19.1,3.54,9.27
2013,16.9,2.81,6.13
2012,19.1,1.04,12.5
2011,18,3.61,11
2010,24.7,8.22,13.8
2009,15.5,4.68,10.2
2008,17.8,5.89,19.6
2007,19,15.8,22.8
2006,23,12.9,11.2
2005,18.4,16.5,8.09
2004,20.4,20.8,2.57
2003,11.8,16.3,
2002,5.71,8,
2001,3.93,3.63,
2000,21.5,-,
1999,12.5,-,
1998,11.6,-,
1997,17.7,-,
1996,30.5,-,
1995,31.2,-,
1994,-,-,
1993,-,-,
1992,-,-,
1991,-,-,
